danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.253,0.238,2,-10.179,1,0.0325,0.886,0.000314,0.0964,0.143,113.707,audio_features,41iU4ZAW3mQThjP7eGlL06,spotify:track:41iU4ZAW3mQThjP7eGlL06,https://api.spotify.com/v1/tracks/41iU4ZAW3mQThjP7eGlL06,https://api.spotify.com/v1/audio-analysis/41iU4ZAW3mQThjP7eGlL06,339987,4
0.485,0.577,1,-12.618,1,0.0401,0.288,0.00235,0.358,0.673,119.907,audio_features,64ayYq6Lwn3bFRZ4X2pReP,spotify:track:64ayYq6Lwn3bFRZ4X2pReP,https://api.spotify.com/v1/tracks/64ayYq6Lwn3bFRZ4X2pReP,https://api.spotify.com/v1/audio-analysis/64ayYq6Lwn3bFRZ4X2pReP,187771,4
0.546,0.846,11,-5.845,1,0.0327,0.00178,0.000187,0.0661,0.681,137.991,audio_features,69gdHhYx6gFGmllm5i0drX,spotify:track:69gdHhYx6gFGmllm5i0drX,https://api.spotify.com/v1/tracks/69gdHhYx6gFGmllm5i0drX,https://api.spotify.com/v1/audio-analysis/69gdHhYx6gFGmllm5i0drX,240627,4
0.588,0.702,3,-5.295,1,0.0269,0.316,0.0,0.189,0.597,106.052,audio_features,06aTt9dfY1JxaNcF0o0qG0,spotify:track:06aTt9dfY1JxaNcF0o0qG0,https://api.spotify.com/v1/tracks/06aTt9dfY1JxaNcF0o0qG0,https://api.spotify.com/v1/audio-analysis/06aTt9dfY1JxaNcF0o0qG0,233653,4
0.517,0.741,2,-13.249,1,0.0639,0.00246,5.2e-05,0.27,0.686,195.995,audio_features,5bKqWjmEey0xVB2xXqxr4W,spotify:track:5bKqWjmEey0xVB2xXqxr4W,https://api.spotify.com/v1/tracks/5bKqWjmEey0xVB2xXqxr4W,https://api.spotify.com/v1/audio-analysis/5bKqWjmEey0xVB2xXqxr4W,180681,4
0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,audio_features,7FDV5ELOJHCGLe52AnttEd,spotify:track:7FDV5ELOJHCGLe52AnttEd,https://api.spotify.com/v1/tracks/7FDV5ELOJHCGLe52AnttEd,https://api.spotify.com/v1/audio-analysis/7FDV5ELOJHCGLe52AnttEd,235133,4
0.379,0.676,7,-6.042,1,0.0659,0.397,0.0,0.356,0.601,107.545,audio_features,6FsTBcizGfeEQeVjgzZ1wi,spotify:track:6FsTBcizGfeEQeVjgzZ1wi,https://api.spotify.com/v1/tracks/6FsTBcizGfeEQeVjgzZ1wi,https://api.spotify.com/v1/audio-analysis/6FsTBcizGfeEQeVjgzZ1wi,199707,5
0.323,0.891,6,-7.018,0,0.119,0.00126,0.019,0.243,0.236,97.391,audio_features,2vCnEuoc65PXAdx33Y7syW,spotify:track:2vCnEuoc65PXAdx33Y7syW,https://api.spotify.com/v1/tracks/2vCnEuoc65PXAdx33Y7syW,https://api.spotify.com/v1/audio-analysis/2vCnEuoc65PXAdx33Y7syW,465933,4
0.627,0.55,6,-9.52,1,0.0242,0.273,7.87e-06,0.262,0.5,111.003,audio_features,6LuRPg5tHDwcyXvEvrtVxP,spotify:track:6LuRPg5tHDwcyXvEvrtVxP,https://api.spotify.com/v1/tracks/6LuRPg5tHDwcyXvEvrtVxP,https://api.spotify.com/v1/audio-analysis/6LuRPg5tHDwcyXvEvrtVxP,342667,4
0.306,0.757,0,-6.447,1,0.0492,0.175,0.0,0.107,0.655,206.1,audio_features,3DKWIWmaorRKjAZUcyWcPN,spotify:track:3DKWIWmaorRKjAZUcyWcPN,https://api.spotify.com/v1/tracks/3DKWIWmaorRKjAZUcyWcPN,https://api.spotify.com/v1/audio-analysis/3DKWIWmaorRKjAZUcyWcPN,277987,4
0.652,0.544,1,-10.609,1,0.0274,0.0374,0.00012,0.335,0.43,111.11,audio_features,1yyrwNvB7YxSliqBohK2x1,spotify:track:1yyrwNvB7YxSliqBohK2x1,https://api.spotify.com/v1/tracks/1yyrwNvB7YxSliqBohK2x1,https://api.spotify.com/v1/audio-analysis/1yyrwNvB7YxSliqBohK2x1,209933,4
0.574,0.694,6,-4.697,1,0.0327,0.00481,0.0,0.102,0.401,109.85,audio_features,244AvzGQ4Ksa5637JQu5Gy,spotify:track:244AvzGQ4Ksa5637JQu5Gy,https://api.spotify.com/v1/tracks/244AvzGQ4Ksa5637JQu5Gy,https://api.spotify.com/v1/audio-analysis/244AvzGQ4Ksa5637JQu5Gy,168667,4
0.84,0.513,10,-13.264,0,0.0612,0.0344,0.00549,0.0588,0.673,121.873,audio_features,2vexD4fGrQ2VI6mqogjjnD,spotify:track:2vexD4fGrQ2VI6mqogjjnD,https://api.spotify.com/v1/tracks/2vexD4fGrQ2VI6mqogjjnD,https://api.spotify.com/v1/audio-analysis/2vexD4fGrQ2VI6mqogjjnD,550933,4
0.648,0.501,4,-9.592,1,0.0293,0.794,0.000199,0.0674,0.666,115.331,audio_features,7DbPr0fZzB8vheUReKYT35,spotify:track:7DbPr0fZzB8vheUReKYT35,https://api.spotify.com/v1/tracks/7DbPr0fZzB8vheUReKYT35,https://api.spotify.com/v1/audio-analysis/7DbPr0fZzB8vheUReKYT35,252413,4
